1000,Sun Dec 04 20:34:20 2005,notice,jk2_init() Found child 2007 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
1001,Sun Dec 04 20:34:20 2005,notice,jk2_init() Found child 2006 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
1002,Sun Dec 04 20:34:21 2005,notice,jk2_init() Found child 2008 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
1003,Sun Dec 04 20:34:25 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1004,Sun Dec 04 20:34:25 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
1005,Sun Dec 04 20:34:25 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1006,Sun Dec 04 20:34:25 2005,error,mod_jk child workerEnv in error state 9,E3,mod_jk child workerEnv in error state <*>
1007,Sun Dec 04 20:34:25 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1008,Sun Dec 04 20:34:25 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
1009,Sun Dec 04 20:37:29 2005,notice,jk2_init() Found child 2028 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
1010,Sun Dec 04 20:37:29 2005,notice,jk2_init() Found child 2027 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
1011,Sun Dec 04 20:37:29 2005,notice,jk2_init() Found child 2029 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
1012,Sun Dec 04 20:37:46 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1013,Sun Dec 04 20:37:46 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1014,Sun Dec 04 20:37:49 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
1015,Sun Dec 04 20:37:49 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
1016,Sun Dec 04 20:38:10 2005,notice,jk2_init() Found child 2030 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
1017,Sun Dec 04 20:38:10 2005,notice,jk2_init() Found child 2031 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
1018,Sun Dec 04 20:38:11 2005,notice,jk2_init() Found child 2032 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
1019,Sun Dec 04 20:38:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1020,Sun Dec 04 20:38:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1021,Sun Dec 04 20:38:14 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1022,Sun Dec 04 20:38:14 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
1023,Sun Dec 04 20:38:14 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
1024,Sun Dec 04 20:38:14 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
1025,Sun Dec 04 20:41:12 2005,notice,jk2_init() Found child 2042 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
1026,Sun Dec 04 20:41:47 2005,notice,jk2_init() Found child 2045 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
1027,Sun Dec 04 20:42:42 2005,notice,jk2_init() Found child 2051 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
1028,Sun Dec 04 20:44:29 2005,notice,jk2_init() Found child 2059 in scoreboard slot 7,E1,jk2_init() Found child <*> in scoreboard slot <*>
1029,Sun Dec 04 20:44:29 2005,notice,jk2_init() Found child 2060 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
1030,Sun Dec 04 20:44:30 2005,notice,jk2_init() Found child 2061 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
1031,Sun Dec 04 20:47:16 2005,notice,jk2_init() Found child 2081 in scoreboard slot 6,E1,jk2_init() Found child <*> in scoreboard slot <*>
1032,Sun Dec 04 20:47:16 2005,error,jk2_init() Can't find child 2082 in scoreboard,E5,jk2_init() Can't find child <*> in scoreboard
1033,Sun Dec 04 20:47:16 2005,notice,jk2_init() Found child 2083 in scoreboard slot 8,E1,jk2_init() Found child <*> in scoreboard slot <*>
1034,Sun Dec 04 20:47:16 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1035,Sun Dec 04 20:47:16 2005,error,mod_jk child workerEnv in error state 6,E3,mod_jk child workerEnv in error state <*>
1036,Sun Dec 04 20:47:16 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1037,Sun Dec 04 20:47:16 2005,error,mod_jk child init 1 -2,E6,mod_jk child init <*> <*>
1038,Sun Dec 04 20:47:16 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1039,Sun Dec 04 20:47:16 2005,error,mod_jk child workerEnv in error state 9,E3,mod_jk child workerEnv in error state <*>
1040,Sun Dec 04 20:47:17 2005,error,jk2_init() Can't find child 2085 in scoreboard,E5,jk2_init() Can't find child <*> in scoreboard
1041,Sun Dec 04 20:47:17 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1042,Sun Dec 04 20:47:17 2005,error,mod_jk child init 1 -2,E6,mod_jk child init <*> <*>
1043,Sun Dec 04 20:47:17 2005,error,jk2_init() Can't find child 2086 in scoreboard,E5,jk2_init() Can't find child <*> in scoreboard
1044,Sun Dec 04 20:47:17 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1045,Sun Dec 04 20:47:17 2005,error,mod_jk child init 1 -2,E6,mod_jk child init <*> <*>
1046,Sun Dec 04 20:47:17 2005,error,jk2_init() Can't find child 2087 in scoreboard,E5,jk2_init() Can't find child <*> in scoreboard
1047,Sun Dec 04 20:47:17 2005,notice,jk2_init() Found child 2084 in scoreboard slot 9,E1,jk2_init() Found child <*> in scoreboard slot <*>
1048,Sun Dec 04 20:47:17 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1049,Sun Dec 04 20:47:17 2005,error,mod_jk child workerEnv in error state 7,E3,mod_jk child workerEnv in error state <*>
1050,Sun Dec 04 20:47:17 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E2,workerEnv.init() ok <*>
1051,Sun Dec 04 20:47:17 2005,error,mod_jk child init 1 -2,E6,mod_jk child init <*> <*>
